id;city_id;type_id;total_area;rooms;ceiling_height;floors_total;living_area;floor;is_apartment;open_plan;kitchen_area;balcony;airports_nearest;parks_around3000;ponds_around3000
0;6X8I;F8EM;108;3;2,7;16;51;8;0;0;25;;18863;1;2
1;FMVZ;IZIQ;40,4;1;;11;18,6;1;0;0;11;2;12817;0;0
2;6X8I;F8EM;56;2;;5;34,3;4;0;0;8,3;0;21741;1;2
3;6X8I;F8EM;159;3;;14;;9;0;0;;0;28098;2;3
4;6X8I;F8EM;100;2;3,03;14;32;13;0;0;41;;31856;2;1
5;IVEB;LVBX;30,4;1;;12;14,4;5;0;0;9,1;;;;
6;4T1U;IZIQ;37,3;1;;26;10,6;6;0;0;14,4;1;52996;0;0
7;6X8I;F8EM;71,6;2;;24;;22;0;0;18,9;2;23982;0;0
8;187Y;IZIQ;33,16;1;;27;15,43;26;0;0;8,81;;;;
9;6X8I;F8EM;61;3;2,5;9;43,6;7;0;0;6,5;2;50898;0;0
10;6X8I;F8EM;39,6;1;2,67;12;20,3;3;0;0;8,5;;38357;1;2
11;3I7C;F8EM;44;2;;5;31;4;0;0;6;1;48252;0;0
12;3SXT;F8EM;54;2;;5;30;5;0;0;9;0;;;
13;YVBQ;F8EM;42,8;2;2,56;5;27;5;0;0;5,2;1;37868;1;3
14;VLGF;F8EM;36;1;;6;17;1;0;0;8;0;20782;0;1
15;6X8I;F8EM;39;1;;14;20,5;5;0;0;7,6;1;12900;1;1
16;6X8I;F8EM;82;3;3,05;5;55,6;1;0;0;9;;22108;3;0
17;6X8I;F8EM;36;1;;17;16,5;7;0;0;11;1;33564;0;1
18;6X8I;F8EM;31;1;2,5;5;19,4;2;0;0;5,6;1;44060;1;0
19;6X8I;F8EM;121;3;2,75;16;76;8;0;0;12;;38900;0;0
20;4T1U;IZIQ;80;3;2,7;27;48;11;0;0;12;2;53134;0;0
21;6X8I;F8EM;31,6;1;;5;16,9;2;0;0;5,7;1;36064;1;0
22;4KU1;9N9J;58;2;2,75;25;30;15;0;0;11;2;;;
23;6X8I;F8EM;32;1;2,6;9;17,7;9;0;0;6,1;;15414;2;1
24;6X8I;F8EM;97,2;2;;3;46,5;1;0;0;19,6;0;20052;3;3
25;6X8I;F8EM;76;2;2,75;23;39;18;0;0;15;2;34967;0;1
26;6X8I;F8EM;60;4;;5;43;4;0;0;7;;11580;0;1
27;6X8I;F8EM;70;3;2,6;17;49;11;0;0;9,2;0;29197;2;1
28;VLGF;F8EM;44;1;2,9;6;20,8;1;0;0;11,7;1;18557;0;1
29;6X8I;F8EM;100;3;;19;52;15;0;0;11;0;30394;1;1
30;T0TI;F8EM;32,8;1;;9;;2;0;0;;;;;
31;6X8I;F8EM;67,9;2;2,8;16;38,1;4;0;0;13,4;2;32888;0;0
32;6X8I;F8EM;60;3;;5;39;4;0;0;6;0;11349;0;1
33;FJEG;F8EM;73;4;;9;51,6;5;0;0;6,5;;26535;0;0
34;6X8I;F8EM;33;1;2,55;16;14;3;0;0;8;;13943;0;0
35;6X8I;F8EM;149;5;;5;104;4;0;0;17;;23670;0;1
36;6X8I;F8EM;45;2;;9;27;9;0;0;6,3;2;49574;1;0
37;0OVA;EQUI;45,8;2;2,5;5;;1;0;0;;;;;
38;187Y;IZIQ;40;1;2,75;18;16,3;9;0;0;11,6;;;;
39;6X8I;F8EM;54,4;2;2,75;9;29,7;2;0;0;8,8;2;13413;0;1
40;4T1U;IZIQ;36;1;2,6;26;15;22;0;0;10;2;52996;0;0
41;6X8I;F8EM;74;3;;14;59;8;0;0;12;5;37715;1;1
42;YVBQ;F8EM;161,8;4;2,8;4;80,9;2;0;0;17,6;5;35416;2;1
43;6X8I;F8EM;48;2;3;4;28;4;0;0;7,5;;15016;0;1
44;6X8I;F8EM;40;1;;22;;3;0;0;;1;30471;1;1
45;6X8I;F8EM;50,6;2;2,65;9;30,3;7;0;0;7;;30011;0;0
46;6X8I;F8EM;52,1;2;2,6;24;29,7;9;0;0;8,3;2;15114;0;0
47;R9I0;F8EM;56,1;3;;4;42,5;3;0;0;5,7;1;;;
48;6X8I;F8EM;33,83;1;;24;15,35;6;0;0;9,5;;21460;0;1
49;6X8I;F8EM;30,8;1;2,5;9;18;7;0;0;6;;45341;1;0
50;VLGF;F8EM;48,2;1;2,7;5;25,4;4;0;0;9;1;19841;1;3
51;6X8I;F8EM;161;3;3,2;8;38;4;0;0;50;;32537;0;3
52;6X8I;F8EM;136;6;3;2;94;2;0;0;11;1;16510;1;0
53;4T1U;IZIQ;39,1;1;;25;15,4;13;0;0;15,5;2;52611;0;0
54;6X8I;F8EM;36,5;1;;24;14;6;0;0;12;0;33331;0;0
55;6X8I;F8EM;58,8;2;2,6;10;33,7;9;0;0;10,7;;10643;0;1
56;6X8I;F8EM;41;1;2,8;7;18,1;4;0;0;11,1;2;13772;1;1
57;FMVZ;IZIQ;45;1;;25;17;10;0;0;12;;13097;0;1
58;6X8I;F8EM;33;1;2,6;9;19;5;0;0;7;;12988;0;2
59;6X8I;F8EM;46,5;1;;13;;13;0;0;;;11125;0;0
60;187Y;IZIQ;35;1;;12;;8;0;0;;;;;
61;6X8I;F8EM;74;2;;4;43;4;0;0;20;;22568;1;0
62;3SXT;F8EM;78,6;3;2,8;9;48,8;5;0;0;11,9;2;;;
63;6X8I;F8EM;118;3;3;9;68;7;0;0;16;;26055;1;1
