id;city_id;type_id;total_area;rooms;ceiling_height;floors_total;living_area;floor;is_apartment;open_plan;kitchen_area;balcony;airports_nearest;parks_around3000;ponds_around3000
0;6X8I;F8EM;108;3;27;16;51;8;0;0;25;;18863;1;2
1;FMVZ;IZIQ;404;1;;11;186;1;0;0;11;2;12817;0;0
2;6X8I;F8EM;56;2;;5;343;4;0;0;83;0;21741;1;2
3;6X8I;F8EM;159;3;;14;;9;0;0;;0;28098;2;3
4;6X8I;F8EM;100;2;303;14;32;13;0;0;41;;31856;2;1
5;IVEB;LVBX;304;1;;12;144;5;0;0;91;;;;
6;4T1U;IZIQ;373;1;;26;106;6;0;0;144;1;52996;0;0
7;6X8I;F8EM;716;2;;24;;22;0;0;189;2;23982;0;0
8;187Y;IZIQ;3316;1;;27;1543;26;0;0;881;;;;
9;6X8I;F8EM;61;3;25;9;436;7;0;0;65;2;50898;0;0
10;6X8I;F8EM;396;1;267;12;203;3;0;0;85;;38357;1;2
11;3I7C;F8EM;44;2;;5;31;4;0;0;6;1;48252;0;0
12;3SXT;F8EM;54;2;;5;30;5;0;0;9;0;;;
13;YVBQ;F8EM;428;2;256;5;27;5;0;0;52;1;37868;1;3
14;VLGF;F8EM;36;1;;6;17;1;0;0;8;0;20782;0;1
15;6X8I;F8EM;39;1;;14;205;5;0;0;76;1;12900;1;1
16;6X8I;F8EM;82;3;305;5;556;1;0;0;9;;22108;3;0
17;6X8I;F8EM;36;1;;17;165;7;0;0;11;1;33564;0;1
18;6X8I;F8EM;31;1;25;5;194;2;0;0;56;1;44060;1;0
19;6X8I;F8EM;121;3;275;16;76;8;0;0;12;;38900;0;0
20;4T1U;IZIQ;80;3;27;27;48;11;0;0;12;2;53134;0;0
21;6X8I;F8EM;316;1;;5;169;2;0;0;57;1;36064;1;0
22;4KU1;9N9J;58;2;275;25;30;15;0;0;11;2;;;
23;6X8I;F8EM;32;1;26;9;177;9;0;0;61;;15414;2;1
24;6X8I;F8EM;972;2;;3;465;1;0;0;196;0;20052;3;3
25;6X8I;F8EM;76;2;275;23;39;18;0;0;15;2;34967;0;1
26;6X8I;F8EM;60;4;;5;43;4;0;0;7;;11580;0;1
27;6X8I;F8EM;70;3;26;17;49;11;0;0;92;0;29197;2;1
28;VLGF;F8EM;44;1;29;6;208;1;0;0;117;1;18557;0;1
29;6X8I;F8EM;100;3;;19;52;15;0;0;11;0;30394;1;1
30;T0TI;F8EM;328;1;;9;;2;0;0;;;;;
31;6X8I;F8EM;679;2;28;16;381;4;0;0;134;2;32888;0;0
32;6X8I;F8EM;60;3;;5;39;4;0;0;6;0;11349;0;1
33;FJEG;F8EM;73;4;;9;516;5;0;0;65;;26535;0;0
34;6X8I;F8EM;33;1;255;16;14;3;0;0;8;;13943;0;0
35;6X8I;F8EM;149;5;;5;104;4;0;0;17;;23670;0;1
36;6X8I;F8EM;45;2;;9;27;9;0;0;63;2;49574;1;0
37;0OVA;EQUI;458;2;25;5;;1;0;0;;;;;
38;187Y;IZIQ;40;1;275;18;163;9;0;0;116;;;;
39;6X8I;F8EM;544;2;275;9;297;2;0;0;88;2;13413;0;1
40;4T1U;IZIQ;36;1;26;26;15;22;0;0;10;2;52996;0;0
41;6X8I;F8EM;74;3;;14;59;8;0;0;12;5;37715;1;1
42;YVBQ;F8EM;1618;4;28;4;809;2;0;0;176;5;35416;2;1
43;6X8I;F8EM;48;2;3;4;28;4;0;0;75;;15016;0;1
44;6X8I;F8EM;40;1;;22;;3;0;0;;1;30471;1;1
45;6X8I;F8EM;506;2;265;9;303;7;0;0;7;;30011;0;0
46;6X8I;F8EM;521;2;26;24;297;9;0;0;83;2;15114;0;0
47;R9I0;F8EM;561;3;;4;425;3;0;0;57;1;;;
48;6X8I;F8EM;3383;1;;24;1535;6;0;0;95;;21460;0;1
49;6X8I;F8EM;308;1;25;9;18;7;0;0;6;;45341;1;0
50;VLGF;F8EM;482;1;27;5;254;4;0;0;9;1;19841;1;3
51;6X8I;F8EM;161;3;32;8;38;4;0;0;50;;32537;0;3
52;6X8I;F8EM;136;6;3;2;94;2;0;0;11;1;16510;1;0
53;4T1U;IZIQ;391;1;;25;154;13;0;0;155;2;52611;0;0
54;6X8I;F8EM;365;1;;24;14;6;0;0;12;0;33331;0;0
55;6X8I;F8EM;588;2;26;10;337;9;0;0;107;;10643;0;1
56;6X8I;F8EM;41;1;28;7;181;4;0;0;111;2;13772;1;1
57;FMVZ;IZIQ;45;1;;25;17;10;0;0;12;;13097;0;1
58;6X8I;F8EM;33;1;26;9;19;5;0;0;7;;12988;0;2
59;6X8I;F8EM;465;1;;13;;13;0;0;;;11125;0;0
60;187Y;IZIQ;35;1;;12;;8;0;0;;;;;
61;6X8I;F8EM;74;2;;4;43;4;0;0;20;;22568;1;0
62;3SXT;F8EM;786;3;28;9;488;5;0;0;119;2;;;
63;6X8I;F8EM;118;3;3;9;68;7;0;0;16;;26055;1;1
64;R9I0;F8EM;443;2;25;5;29;5;0;0;53;;;;
65;6X8I;F8EM;57;3;25;5;39;2;0;0;7;;35361;0;0
66;187Y;IZIQ;34;1;26;17;174;8;0;0;115;2;;;
67;3I7C;F8EM;31;1;25;5;154;4;0;0;72;;47675;0;2
68;E836;9N9J;74;3;28;5;44;1;0;0;8;2;;;
69;0SI2;F8EM;507;2;26;5;289;5;0;0;9;2;;;
